timestamp(ms),Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z
13.173,0.447447,0.294972,0.828481,24395.296875,-1157.350098,36982.9375
13.225,0.451573,0.237677,0.780124,24395.296875,-1157.350098,36865.5
13.276,0.451573,0.298923,0.848219,24921.041016,-1676.109863,36278.265625
13.327,0.505209,0.246567,0.872891,24877.228516,-1676.109863,36278.265625
13.378,0.513461,0.223847,0.813678,23869.552734,-3707.919922,42855.140625
13.429,0.520681,0.161612,0.779137,23869.552734,-3707.919922,42855.140625
13.479,0.542341,0.21298,0.810717,23869.552734,-5782.960449,44264.46875
13.53,0.562971,0.22681,0.883746,23825.740234,-5782.960449,44264.46875
13.58,0.573285,0.157661,0.673542,23124.748047,-7036.630371,44264.46875
13.631,0.632078,0.188284,0.875851,23080.9375,-7036.630371,44264.46875
13.682,0.606292,0.179393,0.701174,20496.029297,-8592.910156,45086.578125
13.732,0.64033,0.131977,0.86993,20452.216797,-8592.910156,44969.125
13.783,0.64033,0.158649,0.752492,20014.097656,-9630.429688,44264.46875
13.834,0.619701,0.146794,0.678476,19970.285156,-9630.429688,44264.46875
13.885,0.661991,0.210017,0.814665,18699.736328,-9630.429688,44264.46875
13.936,0.668179,0.186308,0.658739,18699.736328,-9630.429688,44147.015625
13.987,0.641362,0.101353,0.684398,18699.736328,-9889.810547,42855.140625
14.038,0.791955,0.276203,0.788019,18655.925781,-9846.580078,42737.6875
14.088,0.794018,0.215944,0.656765,17385.376953,-9111.669922,41328.359375
14.139,0.722847,0.161612,0.642949,17385.376953,-9111.669922,41328.359375
14.189,0.694997,0.185321,0.623211,17385.376953,-9889.810547,41328.359375
14.241,0.71769,0.210017,0.636041,17341.564453,-9846.580078,41210.921875
14.292,0.750696,0.255458,0.687358,16377.701172,-8852.289062,39214.375
14.344,0.749665,0.244592,0.535379,16333.888672,-8852.289062,39214.375
14.395,0.792986,0.170503,0.723872,16114.828125,-8852.289062,39214.375
14.447,0.738319,0.192235,0.505773,16071.017578,-8852.289062,39214.375
14.499,0.803301,0.236689,0.728807,15063.341797,-9630.429688,39214.375
14.55,0.73213,0.211005,0.402151,15063.341797,-9587.199219,39096.921875
14.601,0.834244,0.026277,0.717951,15063.341797,-8074.149902,36278.265625
14.653,0.819804,0.191248,0.413007,15019.529297,-8074.149902,36278.265625
14.704,0.86622,0.179393,0.660713,13004.177734,-9630.429688,37687.59375
14.755,0.835276,0.232737,0.468272,12960.365234,-9630.429688,34046.84375
14.806,0.929139,0.124074,0.608408,11952.689453,-10408.570312,33929.390625
14.857,0.874471,0.21792,0.397217,11908.876953,-10365.339844,30523.515625
14.908,0.893038,0.20409,0.41202,10112.583984,-9630.429688,30406.070312
14.96,0.864157,0.077645,0.535379,10068.773438,-9630.429688,24651.3125
15.01,0.892006,0.19026,0.353795,9367.78125,-11143.480469,24533.875
15.061,0.890975,0.075669,0.414981,9323.96875,-11100.25,23946.648438
15.112,0.936359,0.220883,0.423863,9104.908203,-10884.099609,23829.210938
15.163,0.933265,0.13494,0.388335,9104.908203,-10840.869141,21715.21875
15.214,0.950799,0.211005,0.419915,9367.78125,-10149.189453,21597.773438
15.265,0.906447,0.143831,0.349847,9323.96875,-10408.570312,20305.890625
15.316,0.944611,0.09839,0.471233,8053.42041,-10408.570312,20188.445312
15.368,0.929139,0.192235,0.01431,8009.60791,-10624.720703,19601.226562
15.419,0.961114,0.203102,0.343926,7527.67627,-10581.490234,19483.78125
15.471,0.909541,0.132965,0.358729,7527.67627,-10408.570312,15960.460938
15.523,1.017844,0.371036,0.511694,7527.67627,-10408.570312,15843.015625
15.575,0.940485,0.091475,0.336031,7527.67627,-11143.480469,15255.796875
