timestamp(ms),Mag_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,
"72.746","-110526.726562","0.318515","0.0569","-0.848219","17954.933594","-29127.160156",
"72.797","-111936.054688","0.177205","0.248543","-0.872891","19225.480469","-29645.919922",
"72.848","-111936.054688","0.282414","0.078633","-1.04658","19225.480469","-29602.689453",
"72.899","-111936.054688","0.252501","-0.084362","-1.04362","21065.583984","-28089.638672",
"72.949","-111818.609375","0.231872","-0.156475","-0.756439","21065.583984","-28132.869141",
"73","-111231.390625","0.252501","-0.081399","-0.890654","21328.457031","-32455.869141",
"73.051","-111113.945312","0.230841","-0.227601","-1.070265","21328.457031","-32455.869141",
"73.102","-108295.289062","0.20918","-0.283908","-1.189677","21854.201172","-36303.339844",
"73.153","-108177.84375","0.207117","-0.35207","-1.006119","21810.388672","-36303.339844",
"73.204","-103949.867188","0.151418","-0.26909","-0.785059","21328.457031","-36562.722656",
"73.255","-103832.421875","0.061681","-0.279957","-0.807757","21328.457031","-36562.722656",
"73.306","-103127.757812","0.073027","-0.155488","-0.833416","22117.072266","-38594.53125",
"73.357","-103010.3125","0.069933","-0.393559","-0.836376","22117.072266","-38594.53125",
"73.408","-100191.65625","0.037958","-0.395535","-0.956775","25490.595703","-40410.191406",
"73.458","-100074.210938","0.036926","-0.323422","-1.083095","25490.595703","-40410.191406",
"73.509","-95963.671875","0.010108","-0.362936","-0.985394","26235.400391","-41145.101562",
"73.561","-96081.117188","-0.034244","-0.465672","-0.824534","26235.400391","-41145.101562",
"73.612","-97373","-0.017741","-0.300701","-0.800849","26235.400391","-42182.621094",
"73.663","-97373","-0.046622","-0.400474","-0.844271","26235.400391","-42182.621094",
"73.714","-94554.34375","-0.072408","-0.555567","-0.970591","28075.505859","-43220.140625",
"73.766","-94554.34375","-0.052811","-0.405413","-0.848219","28075.505859","-43220.140625",
"73.818","-92322.90625","-0.118824","-0.507162","-0.701174","29126.994141","-43738.902344",
"73.87","-88682.140625","-0.123981","-0.528895","-0.86993","29126.994141","-44473.8125",
"73.922","-88682.140625","-0.099226","-0.526919","-0.916313","29126.994141","-44473.8125",
