timestamp(ms),Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z,
"61.18","-0.464363","-0.200929","-0.789006","35830.226562","-33925.691406","-104654.53125",
"61.231","-0.457143","-0.171293","-0.773216","37144.585938","-33450.160156","-106063.859375",
"61.283","-0.474678","-0.145609","-0.830455","37100.773438","-33406.929688","-106063.859375",
"61.335","-0.520062","-0.167342","-0.863022","36881.714844","-33190.78125","-106063.859375",
"61.387","-0.441671","-0.103131","-0.888681","36837.902344","-33147.550781","-107473.1875",
"61.438","-0.362249","-0.08535","-0.846245","34822.550781","-32888.171875","-107473.1875",
"61.491","-0.387004","0.0569","-0.912366","34778.738281","-30899.587891","-108999.953125",
"61.543","-0.421042","0.144819","-0.888681","34252.996094","-30856.357422","-108999.953125",
"61.595","-0.3705","0.12605","-0.842297","33508.191406","-27830.259766","-113345.382812",
"61.647","-0.349871","0.798775","-0.892628","33508.191406","-27787.029297","-113345.382812",
"61.698","-0.36328","0.219895","-0.789006","33508.191406","-23723.410156","-115576.820312",
"61.748","-0.344714","0.367085","-0.900523","33464.378906","-23680.179688","-115459.375",
"61.799","-0.282826","0.489578","-0.828481","33245.320312","-20913.458984","-114754.710938",
"61.85","-0.241568","0.628865","-0.657752","33201.507812","-20827","-114754.710938",
"61.902","-0.212687","0.637756","-0.778151","31668.087891","-15250.330078","-115576.820312",
"61.953","-0.21475","0.681221","-0.77519","31624.275391","-15163.869141","-115459.375",
"62.004","-0.182775","0.667391","-0.708082","29608.923828","-8852.289062","-109704.617188",
"62.056","-0.153894","0.690112","-0.621238","29565.111328","-8809.060547","-109587.171875",
"62.106","-0.171429","0.719747","-0.463338","27549.759766","-5782.960449","-107473.1875",
"62.157","-0.164208","0.714808","-0.525511","27549.759766","-5739.72998","-107355.742188",
"62.208","-0.147705","0.868912","-0.532419","27812.634766","-4226.680176","-106063.859375",
"62.26","-0.176586","0.813593","-0.542288","27812.634766","-4183.450195","-105946.414062",
"62.312","-0.171429","0.84718","-0.463338","28557.435547","-1416.72998","-98782.328125",
"62.365","-0.168334","0.998321","-0.248199","28513.623047","-1373.5","-98664.882812",
"62.417","-0.180712","0.868912","-0.272871","28031.693359","615.079834","-94554.34375",
"62.469","-0.195152","1.037835","-0.176157","28031.693359","701.540039","-94436.898438",
"62.52","-0.156988","0.85607","-0.063653","29083.181641","7013.120117","-74119.085938",
"62.571","-0.1869","1.052652","0.263989","29083.181641","7013.120117","-74119.085938",
"62.621","-0.178649","0.827423","0.057732","30134.669922","8828.779297","-64606.125",
"62.672","-0.188963","1.072409","0.263002","30090.857422","8828.779297","-64606.125",
"62.723","-0.176586","0.940038","0.188986","29608.923828","10601.209961","-53683.832031",
"62.774","-0.161114","0.983503","0.236356","29608.923828","10601.209961","-53683.832031",
"62.825","-0.175554","0.909414","0.340965","30397.541016","12157.490234","-44992.976562",
"62.876","-0.151831","0.880767","0.31728","30397.541016","12114.259766","-44992.976562",
"62.927","-0.163177","0.904475","0.400178","30660.412109","11898.109375","-33366.019531",
"62.978","-0.141516","0.849155","0.523537","30660.412109","11854.878906","-33366.019531",
"63.029","-0.139453","0.807666","0.496891","31668.087891","11379.349609","-23853.054688",
"63.079","-0.131202","0.835325","0.573868","31624.275391","11379.349609","-23853.054688",
"63.13","-0.112635","0.770127","0.557091","30660.412109","11638.730469","-17276.195312",
"63.18","-0.114698","0.780006","0.695253","30660.412109","11595.5","-17276.195312",
"63.231","-0.112635","0.63578","0.609395","30660.412109","10341.830078","-6353.898438",
"63.282","-0.105415","0.634792","0.817626","30660.412109","10298.599609","-6353.898438",
"63.333","-0.105415","0.598242","0.677489","30923.283203","8828.779297","927.625",
"63.384","-0.101289","0.708881","0.875851","30879.474609","8785.549805","927.625",
"63.433","-0.067251","0.587375","0.789993","30397.541016","8569.400391","5977.71875",
"63.484","-0.072408","0.624914","0.785059","30353.728516","8526.169922","5977.71875",
"63.536","-0.082723","0.53008","0.779137","30134.669922","7531.879883","11145.257812",
"63.587","-0.08066","0.607132","0.797888","30134.669922","7488.649902","11145.257812",
"63.638","-0.047653","0.497481","0.826507","30397.541016","6753.739746","13259.25",
"63.688","-0.043528","0.560703","0.858087","30397.541016","6710.509766","13259.25",
"63.739","-0.033213","0.393757","0.888681","30660.412109","4981.310059","17722.117188",
"63.79","-0.052811","0.444137","0.864996","30616.599609","4938.080078","17722.117188",
"63.841","0.00392","0.399684","0.997237","29608.923828","3684.409912","22772.210938",
"63.892","-0.03837","0.380915","0.864009","29565.111328","3641.179932","22772.210938",
"63.942","0.000825","0.359182","0.920261","29346.052734","2949.5","26412.976562",
"63.993","0.01114","0.353255","0.957762","29346.052734","2949.5","26412.976562",
"64.044","0.016297","0.280154","0.942959","30397.541016","1393.219971","27939.75",
"64.095","0.020423","0.363133","0.963683","30353.728516","1393.219971","27939.75",
"64.146","0.014234","0.284106","0.904471","29608.923828","355.699951","29349.078125",
"64.197","0.01836","0.236689","0.945919","29565.111328","355.699951","29349.078125",
"64.247","0.068901","0.12111","1.044607","29083.181641","-163.060059","33694.507812",
"64.298","0.031769","0.352267","0.985394","29039.369141","-163.060059","33694.507812",
"64.349","0.034863","0.266324","0.943946","28075.505859","-1935.490234","36630.609375",
"64.4","0.063744","0.179393","0.958749","28075.505859","-1892.260254","36630.609375",
"64.451","0.071996","0.216932","0.939011","28294.564453","-1676.109863","38862.046875",
"64.502","0.076122","0.160624","1.005132","28250.751953","-1676.109863","38862.046875",
"64.553","0.094688","0.149758","0.984407","27549.759766","-2454.25","38862.046875",
"64.604","0.095719","0.185321","0.94888","27505.947266","-2454.25","38862.046875",
"64.655","0.130789","0.026277","1.010066","27024.017578","-4486.060059","40976.03125",
"64.706","0.11016","0.175442","1.015987","27024.017578","-4486.060059","40976.03125",
"64.756","0.111191","0.08456","0.956775","27286.888672","-4486.060059","40976.03125",
"64.807","0.139041","0.060852","0.987368","27243.076172","-4486.060059","40976.03125",
"64.857","0.169985","0.089499","1.002171","26498.271484","-5523.57959","42502.796875",
"64.908","0.212274","-0.198953","0.886707","26454.458984","-5523.57959","42385.359375",
"64.959","0.227746","-0.029043","0.789006","25709.658203","-6042.340332","41798.140625",
"65.01","0.330892","-0.006322","1.155137","25665.845703","-6042.340332","41798.140625",
"65.061","0.332955","-0.025091","1.060397","23913.365234","-7814.77002","43207.46875",
"65.111","0.335018","0.001581","0.864996","23869.552734","-7814.77002","43207.46875",
"65.162","0.347396","-0.036946","0.896576","21547.517578","-10408.570312","43207.46875",
"65.213","0.4","0.046034","0.957762","21503.705078","-10365.339844","43207.46875",
"65.264","0.356679","-0.234515","0.967631","21021.773438","-9630.429688","44616.796875",
"65.314","0.437133","-0.145609","1.002171","20977.960938","-9630.429688","44616.796875",
"65.365","0.389685","-0.083374","0.751505","19751.224609","-11662.240234","47552.890625",
"65.417","0.454667","-0.132767","0.851179","19707.412109","-11662.240234","47435.453125",
"65.467","0.46395","-0.095229","0.947893","17648.248047","-12181","46143.5625",
"65.517","0.480454","-0.137706","0.801836","17604.4375","-12181","46026.125",
"65.568","0.522744","-0.103131","0.855127","15851.957031","-12959.140625","44616.796875",
