timestamp(ms),AccelX,AccelY,AccelZ,Accelx,Accely,Accelz,
"1739557826.954","-0.007",,,,,,
"1739557826.956",,"0.018",,,,,
"1739557826.957",,,"0.999",,,,
"1739557826.959",,,,"-17",,,
"1739557826.96",,,,,"-23",,
"1739557826.962",,,,,,"988",
"1739557826.969","-0.008",,,,,,
"1739557826.97",,"0.017",,,,,
"1739557826.972",,,"0.999",,,,
"1739557826.973",,,,"-9",,,
"1739557826.975",,,,,"-29",,
"1739557826.977",,,,,,"988",
"1739557826.983","-0.007",,,,,,
"1739557826.984",,"0.018",,,,,
"1739557826.985",,,"0.999",,,,
"1739557826.987",,,,"-7",,,
"1739557826.989",,,,,"-24",,
"1739557826.99",,,,,,"984",
"1739557826.997","-0.008",,,,,,
"1739557826.998",,"0.017",,,,,
"1739557827",,,"0.999",,,,
"1739557827.002",,,,"-11",,,
"1739557827.003",,,,,"-25",,
"1739557827.005",,,,,,"983",
"1739557827.011","-0.008",,,,,,
"1739557827.012",,"0.016",,,,,
"1739557827.014",,,"1",,,,
"1739557827.015",,,,"-12",,,
"1739557827.017",,,,,"-17",,
"1739557827.019",,,,,,"988",
"1739557827.025","-0.007",,,,,,
"1739557827.027",,"0.016",,,,,
"1739557827.028",,,"0.999",,,,
"1739557827.03",,,,"-6",,,
"1739557827.031",,,,,"-13",,
"1739557827.033",,,,,,"990",
"1739557827.04","-0.007",,,,,,
"1739557827.042",,"0.016",,,,,
"1739557827.043",,,"0.999",,,,
"1739557827.045",,,,"-13",,,
"1739557827.046",,,,,"-27",,
"1739557827.048",,,,,,"989",
"1739557827.054","-0.007",,,,,,
"1739557827.056",,"0.016",,,,,
"1739557827.057",,,"0.998",,,,
"1739557827.059",,,,"-13",,,
"1739557827.06",,,,,"-27",,
"1739557827.062",,,,,,"989",
"1739557827.069","-0.007",,,,,,
"1739557827.07",,"0.015",,,,,
"1739557827.072",,,"0.999",,,,
"1739557827.074",,,,"-17",,,
"1739557827.075",,,,,"-23",,
"1739557827.077",,,,,,"993",
"1739557827.083","-0.007",,,,,,
"1739557827.085",,"0.014",,,,,
"1739557827.086",,,"0.998",,,,
"1739557827.088",,,,"-20",,,
"1739557827.09",,,,,"-20",,
"1739557827.091",,,,,,"983",
"1739557827.097","-0.007",,,,,,
"1739557827.099",,"0.014",,,,,
"1739557827.1",,,"0.998",,,,
"1739557827.102",,,,"-16",,,
"1739557827.104",,,,,"-23",,
"1739557827.105",,,,,,"987",
"1739557827.112","-0.007",,,,,,
"1739557827.115",,"0.015","0.997",,,,
"1739557827.117",,,,"-15",,,
"1739557827.119",,,,,"-27",,
"1739557827.12",,,,,,"980",
"1739557827.126","-0.008",,,,,,
"1739557827.128",,"0.015",,,,,
"1739557827.129",,,"0.998",,,,
"1739557827.131",,,,"-14",,,
"1739557827.133",,,,,"-24",,
"1739557827.134",,,,,,"990",
"1739557827.141","-0.008",,,,,,
"1739557827.142",,"0.015",,,,,
"1739557827.143",,,"0.999",,,,
"1739557827.145",,,,"-8",,,
"1739557827.147",,,,,"-23",,
"1739557827.149",,,,,,"988",
"1739557827.155","-0.008",,,,,,
"1739557827.156",,"0.015",,,,,
"1739557827.157",,,"0.998",,,,
"1739557827.159",,,,"-13",,,
"1739557827.161",,,,,"-18",,
"1739557827.162",,,,,,"985",
"1739557827.169","-0.008",,,,,,
"1739557827.17",,"0.014",,,,,
"1739557827.172",,,"0.998",,,,
"1739557827.173",,,,"-9",,,
"1739557827.175",,,,,"-19",,
"1739557827.176",,,,,,"988",
"1739557827.184","-0.008",,,,,,
"1739557827.185",,"0.014",,,,,
"1739557827.187",,,"0.998",,,,
"1739557827.189",,,,"-10",,,
"1739557827.19",,,,,"-28",,
"1739557827.192",,,,,,"988",
"1739557827.198","-0.007",,,,,,
"1739557827.199",,"0.014",,,,,
"1739557827.201",,,"0.998",,,,
"1739557827.202",,,,"-11",,,
"1739557827.204",,,,,"-29",,
"1739557827.206",,,,,,"988",
"1739557827.212","-0.007",,,,,,
"1739557827.213",,"0.014",,,,,
"1739557827.215",,,"0.997",,,,
"1739557827.216",,,,"-17",,,
"1739557827.218",,,,,"-23",,
"1739557827.22",,,,,,"988",
"1739557827.226","-0.007",,,,,,
"1739557827.227",,"0.014",,,,,
"1739557827.229",,,"0.997",,,,
"1739557827.23",,,,"-13",,,
"1739557827.232",,,,,"-17",,
"1739557827.234",,,,,,"980",
"1739557827.24","-0.007",,,,,,
"1739557827.241",,"0.014",,,,,
"1739557827.243",,,"0.996",,,,
"1739557827.244",,,,"-15",,,
"1739557827.246",,,,,"-21",,
"1739557827.248",,,,,,"980",
"1739557827.255","-0.007",,,,,,
"1739557827.256",,"0.014",,,,,
"1739557827.258",,,"0.997",,,,
"1739557827.259",,,,"-16",,,
